Day;Hour;Minute;Second;Mission;srcPoint;dstPoint
0;1;29;9;pick&drop_mission;13344;1542
0;1;3;0;pick&drop_mission;297;14293
0;1;6;48;pick&drop_mission;14293;14188
0;1;9;1;pick&drop_mission;14188;13357
0;1;11;0;pick&drop_mission;13357;13351
0;1;13;19;pick&drop_mission;13351;14192
0;1;15;26;pick&drop_mission;14192;13346
0;1;17;54;pick&drop_mission;13346;14196
0;1;19;57;pick&drop_mission;14196;14243
0;1;23;5;pick&drop_mission;14243;1542
0;1;32;4;pick&drop_mission;1542;13355
0;1;35;8;pick&drop_mission;13355;197
0;1;39;14;pick&drop_mission;290;14293
0;1;42;55;pick&drop_mission;14293;14188
0;1;45;10;pick&drop_mission;14188;13357
0;1;47;12;pick&drop_mission;13357;13355
0;1;49;12;pick&drop_mission;13355;13351
0;1;51;39;pick&drop_mission;13351;14192
0;1;53;30;pick&drop_mission;14192;13346
0;1;55;49;pick&drop_mission;13346;14196
0;1;58;4;pick&drop_mission;14196;14243
0;1;13;5;pick&drop_mission;1549;13343
0;1;22;1;pick&drop_mission;13343;141
0;1;24;18;pick&drop_mission;297;13353
0;1;34;27;pick&drop_mission;13353;1549
0;1;29;30;pick&drop_mission;1542;431
0;1;32;2;pick&drop_mission;297;1549
0;1;40;55;pick&drop_mission;1549;325
0;1;42;36;pick&drop_mission;318;14188
0;1;46;12;pick&drop_mission;14188;13355
0;1;48;31;pick&drop_mission;13355;13353
0;1;50;27;pick&drop_mission;13353;14247
0;1;51;51;pick&drop_mission;14247;14192
0;1;53;56;pick&drop_mission;14192;13342
0;1;56;8;pick&drop_mission;13342;14243
0;1;3;37;pick&drop_mission;13344;1542
0;1;11;47;pick&drop_mission;1542;431
0;1;14;41;pick&drop_mission;318;14188
0;1;18;24;pick&drop_mission;14188;13355
0;1;20;59;pick&drop_mission;13355;14194
0;1;23;8;pick&drop_mission;14194;13344
0;1;1;27;pick&drop_mission;13357;13355
0;1;3;21;pick&drop_mission;13355;13351
0;1;5;35;pick&drop_mission;13351;14192
0;1;12;10;pick&drop_mission;14192;1542
0;1;24;20;pick&drop_mission;1542;431
0;1;42;42;pick&drop_mission;290;14188
0;1;52;23;pick&drop_mission;14188;13357
0;1;54;26;pick&drop_mission;13357;13355
0;1;56;23;pick&drop_mission;13355;13351
0;1;58;47;pick&drop_mission;13351;14192
0;1;21;53;pick&drop_mission;290;14188
0;1;31;25;pick&drop_mission;14188;13351
0;1;33;45;pick&drop_mission;13351;14192
0;1;35;49;pick&drop_mission;14192;13343
0;1;42;1;pick&drop_mission;13343;1542
0;1;7;20;pick&drop_mission;14243;1542
0;1;27;50;pick&drop_mission;1542;13346
0;1;37;36;pick&drop_mission;13346;13343
0;1;42;23;pick&drop_mission;13343;197
0;1;45;55;pick&drop_mission;290;14188
0;1;50;1;pick&drop_mission;14188;13353
0;1;52;34;pick&drop_mission;13353;13346
0;1;56;11;pick&drop_mission;13346;14245
0;1;58;56;pick&drop_mission;14245;13343
0;1;2;39;pick&drop_mission;1542;141
0;1;15;54;pick&drop_mission;304;14188
0;1;21;39;pick&drop_mission;14188;13355
0;1;24;8;pick&drop_mission;13355;14194
0;1;26;21;pick&drop_mission;14194;13344
0;1;7;27;pick&drop_mission;14243;1542
0;1;15;2;pick&drop_mission;1542;431
0;1;17;43;pick&drop_mission;318;14293
0;1;23;14;pick&drop_mission;14293;14188
0;1;25;21;pick&drop_mission;14188;13357
0;1;27;20;pick&drop_mission;13357;13355
0;1;29;28;pick&drop_mission;13355;13351
0;1;31;44;pick&drop_mission;13351;14192
