Day;Hour;Minute;Second;Mission;srcPoint;dstPoint
0;8;1;56;missEBM;1977;4851
0;8;3;23;missEBM;1966;4891
0;8;3;55;missEBM;1977;5099
0;8;4;5;missEBM;1966;5109
0;8;5;44;missEBM;1524;1419
0;8;8;5;missEBM;1524;1419
0;8;9;20;missEBM;1524;1419
0;8;10;34;missEBM;1524;4667
0;8;11;49;missEBM;1524;1419
0;8;13;3;missEBM;1524;4669
0;8;14;28;missEBM;1524;1419
0;8;15;48;missEBM;1524;1419
0;8;16;2;missEBM;1977;4519
0;8;17;16;missEBM;1524;2786
0;8;19;22;missEBM;1966;4767
0;8;19;30;missEBM;1524;1419
0;8;23;6;missEBM;1524;2776
0;8;24;18;missEBM;1524;1419
0;8;25;46;missEBM;1524;1419
0;8;26;59;missEBM;1524;1419
0;8;28;13;missEBM;1524;1419
0;8;29;31;missEBM;1524;1419
0;8;30;48;missEBM;1524;1419
0;8;32;13;missEBM;1524;1419
0;8;33;25;missEBM;1524;1419
0;8;34;36;missEBM;1524;4723
0;9;7;42;missEBM;1524;1419
0;9;9;54;missEBM;1524;1419
0;9;10;26;missEBM;1966;4807
0;9;11;9;missEBM;1524;1419
0;9;12;3;missEBM;1977;4891
0;9;12;23;missEBM;1524;1419
0;9;12;45;missEBM;1966;4809
0;9;13;38;missEBM;1524;1419
0;9;14;53;missEBM;1524;1419
0;9;15;43;missEBM;1966;4793
0;9;16;7;missEBM;1524;8938
0;9;17;40;missEBM;1524;1419
0;9;18;52;missEBM;1524;1419
0;9;19;7;missEBM;1966;2806
0;9;20;26;missEBM;1966;4795
0;9;22;52;missEBM;1966;4795
0;9;24;18;missEBM;1966;8939
0;9;25;43;missEBM;1966;2816
0;9;27;8;missEBM;1966;4807
0;9;27;53;missEBM;1977;2776
0;9;28;33;missEBM;1966;4809
0;9;29;57;missEBM;1977;4723
0;9;30;49;missEBM;1524;4667
0;9;32;14;missEBM;1966;2806
0;9;33;0;missEBM;1524;1419
0;9;33;55;missEBM;1966;2816
0;9;34;13;missEBM;1524;1419
0;9;35;24;missEBM;1524;1419
0;9;35;33;missEBM;1977;4737
0;9;36;2;missEBM;1966;4709
0;9;36;39;missEBM;1524;4669
0;9;37;37;missEBM;1966;4739
0;9;37;53;missEBM;1524;1419
0;9;38;19;missEBM;1977;2776
0;9;39;8;missEBM;1524;4653
0;9;40;40;missEBM;1966;4739
0;9;41;0;missEBM;1524;1419
0;9;42;14;missEBM;1524;1419
0;9;43;30;missEBM;1524;1419
0;9;44;49;missEBM;1524;1419
0;9;45;36;missEBM;1966;4737
0;9;46;20;missEBM;1966;4891
0;9;46;54;missEBM;1977;4849
0;9;48;13;missEBM;1966;8940
0;9;49;57;missEBM;1966;2786
